,model,accuracy,precision,recall,f1
0,LogReg,0.9571,0.957,0.9573,0.9571
1,LinearSVM,0.9578,0.9577,0.9578,0.9578
2,RandomForest,0.9614,0.9614,0.9614,0.9614
3,GaussianNB,0.9002,0.9001,0.9002,0.9001
4,DecisionTree,0.9165,0.9174,0.9158,0.9163
5,KNN,0.9381,0.9384,0.9387,0.9381
6,NeuralNetwork,0.9751,0.9751,0.9751,0.9751
